1.96430,4.59570,1.00000
2.27530,3.85890,1.00000
2.97810,4.56510,1.00000
2.93200,3.55190,1.00000
3.57720,2.85600,1.00000
4.01500,3.19370,1.00000
3.38140,3.42910,1.00000
3.91130,4.17610,1.00000
2.78220,4.04310,1.00000
2.55180,4.61620,1.00000
3.36980,3.91010,1.00000
3.10480,3.07090,1.00000
1.91820,4.05340,1.00000
2.26380,4.37060,1.00000
2.65550,3.50080,1.00000
3.18550,4.28880,1.00000
3.65790,3.86920,1.00000
3.91130,3.42910,1.00000
3.60020,3.12210,1.00000
3.03570,3.31650,1.00000
1.58410,3.35750,0.00000
2.01030,3.20390,0.00000
1.95270,2.78430,0.00000
2.27530,2.71270,0.00000
2.30990,2.95840,0.00000
2.82830,2.63090,0.00000
3.04730,2.29310,0.00000
2.48270,2.03730,0.00000
2.50570,2.38530,0.00000
1.87210,2.05770,0.00000
2.01030,2.35460,0.00000
1.22690,2.32390,0.00000
1.89510,2.91740,0.00000
1.56100,3.07090,0.00000
1.54950,2.69230,0.00000
1.68780,2.40570,0.00000
1.49190,2.02710,0.00000
0.96200,2.68200,0.00000
1.16930,2.92760,0.00000
0.81220,2.99920,0.00000
0.97350,3.38810,0.00000
1.25000,3.19370,0.00000
1.31910,3.51090,0.00000
2.22920,2.20100,0.00000
2.44820,2.64110,0.00000
2.79380,1.96560,0.00000
2.09100,1.61770,0.00000
2.54030,2.88670,0.00000
0.90440,3.01980,0.00000
0.76615,2.58990,0.00000
0.08640,4.10450,1.00000
