7.9146,2.2675
8.1506,2.0287
8.163,2.5329
8.4624,2.8104
8.1076,2.0609
8.1831,1.381
8.1611,2.1221
9.3445,2.6991
8.438,1.9523
7.5618,2.1938
7.3913,1.5168
7.1926,2.7546
8.92,2.2019
7.5905,1.7889
8.4961,1.163
8.2669,1.6562
7.2366,1.4864
9.0114,1.7537
8.2761,2.1734
8.9101,2.4147
8.1713,2.0778
8.0898,2.0419
7.4903,2.1873
8.0188,3.3266
8.0686,2.1664
7.2395,2.0704
7.9905,2.7889
8.0816,2.0448
7.6394,1.6635
8.2053,2.4659
7.3937,1.8211
7.7131,2.1011
8.0527,2.4381
7.6975,2.404
8.2109,1.1983
7.8186,0.81897
7.5629,1.6491
8.4658,2.826
8.3,2.1175
8.2857,1.9241
8.3426,1.9221
8.5047,2.5191
8.4954,2.1652
8.0168,2.2379
7.7749,0.95475
7.9447,1.913
8.6189,2.0096
7.4011,1.57
7.7178,1.9885
8.5217,1.6988
8.423,2.435
7.7522,1.7146
7.8966,2.6523
7.9221,1.9787
7.8623,2.4478
6.7784,3.1424
7.7863,2.0334
8.1545,2.7473
9.2258,1.4638
7.2687,2.9117
7.6822,1.3958
7.8073,1.9673
7.5289,1.8366
7.6631,1.4254
7.0379,1.346
7.9438,2.3232
1.3297,9.7804
2.5644,9.7931
2.0008,9.4281
2.1898,8.2878
1.5493,9.0199
1.9016,8.31
2.1535,9.6165
2.0837,9.871
2.894,7.9993
1.688,9.4177
1.925,8.8286
2.4161,8.761
2.474,8.5554
1.0131,9.6317
1.8041,9.1916
1.6616,8.9406
1.992,9.2086
2.2576,9.5066
2.2224,8.5652
2.5704,8.6027
2.2238,9.3443
2.1577,9.7928
2.4728,9.6251
2.2143,8.9422
1.3377,8.3341
2.0549,7.8286
1.1726,8.5367
2.5553,9.5648
0.94607,8.7254
1.7251,9.1419
2.0471,9.1064
1.9809,7.8986
2.9415,9.6255
2.0277,10.012
1.6931,8.9806
2.2935,9.4993
1.3966,8.6213
2.2727,9.2981
2.1255,10.062
1.8036,9.6559
1.689,8.65
1.4048,8.4902
1.0608,9.0266
1.788,8.8815
2.3886,8.9686
1.643,9.6356
2.7923,9.1106
1.5558,9.832
3.0704,8.9785
1.6539,8.9334
2.0496,9.3966
2.7175,9.2131
2.6167,8.895
1.6212,8.2059
2.3693,8.4418
1.4428,9.3084
1.1471,9.2717
2.3306,8.2661
1.1352,9.06
0.93096,9.2647
1.97,8.4124
2.6928,8.5009
2.6089,9.597
1.2525,8.1232
2.0186,9.2233
2.4014,9.489
-0.065095,4.9971
-0.58762,5.1407
0.044981,4.8743
-0.21108,4.1533
-0.82547,4.708
0.30898,5.1172
0.29808,5.1294
-0.30922,5.3018
0.26394,6.1105
-0.67216,4.1729
-0.61738,5.3402
-0.57672,5.0679
-0.054664,4.981
-0.2621,4.6534
0.95565,4.9362
-0.035553,5.3402
0.28092,5.2131
0.28704,4.1972
0.18587,5.4531
0.095847,5.1248
0.62204,5.9471
-0.58208,4.4438
0.81763,4.639
0.34316,4.1239
-0.57474,5.0018
0.55508,5.4976
0.59128,4.7605
0.85366,4.7404
-0.21016,4.8527
0.81969,4.9197
0.13173,5.5118
-0.73174,5.0079
-0.38809,4.7587
0.46474,5.3173
0.89648,4.3178
-0.59158,5.2993
-0.055588,4.8968
-0.32838,6.0697
0.93987,4.6756
-0.44804,5.2118
0.66575,5.0589
-0.31229,4.4596
0.38834,5.4378
-0.66213,3.8869
0.75014,4.0269
-1.1015,4.3452
0.16126,5.6528
0.2105,5.492
-0.41035,4.3743
-0.48323,4.9101
0.30467,4.6283
-0.51811,5.1166
-0.014119,6.0507
-1.4099,4.5617
-1.0405,5.9744
-0.022377,4.7674
0.55898,4.674
-0.82475,5.3048
0.33933,5.3546
0.24716,5.1399
-0.29423,4.2663
-0.011962,4.6543
1.0957,4.566
-0.70029,4.7437
0.24005,4.609
0.10378,5.2129
